Acc_DRO,Acc_ERM,WG_Acc_DRO,WG_Acc_ERM,WG_Acc_Improved?,WG_DRO,WG_ERM,Disease
0.735504314312593,0.7263061796332075,0.7148102815177478,0.715422276621787,False,White,White,Cardiac dysrhythmias
0.7986834518546992,0.7978570055737075,0.7950413223140496,0.7933884297520661,True,Black,Black,Diabetes mellitus without complication
0.937414649443135,0.9405975297652165,0.9326805385556916,0.9357405140758874,False,White,White,Other liver diseases
0.8318434708720677,0.8314302477315718,0.8289256198347107,0.828099173553719,True,Black,Black,Complications of surgical procedures or medical care
0.6282620350607443,0.6312016346844431,0.6206611570247934,0.6285189718482252,False,Black,White,Essential hypertension
0.765235643404109,0.7660464104716914,0.7503059975520195,0.7527539779681762,False,White,White,acute
0.8856464387954318,0.8855548924203648,0.8851239669421488,0.8843329253365974,True,Black,White,Chronic obstructive pulmonary disease and bronchiectasis
0.9630137471296925,0.9634269702701883,0.9578512396694215,0.9586776859504132,False,Black,Black,Other lower respiratory disease
0.7238870287384809,0.7204896972394469,0.7221542227662179,0.7203182374541004,True,White,White,Disorders of lipid metabolism
0.9061351244727233,0.9052328110300738,0.8991735537190083,0.9016528925619834,False,Black,Black,Septicemia (except in labor)
0.7764816856671758,0.7780430318540923,0.7686658506731946,0.7668298653610771,True,White,White,Coronary atherosclerosis and other heart disease
0.9169547932872735,0.9202448991978311,0.9165289256198347,0.9198286413708691,False,Black,White,Pneumonia (except that caused by tuberculosis or sexually transmitted disease)
0.9404589457499216,0.937351932589498,0.9396694214876034,0.9322314049586777,True,Black,Black,Gastrointestinal hemorrhage
0.9053425655239387,0.9079893179036387,0.8916768665850673,0.897796817625459,False,White,White,Acute myocardial infarction
0.931966881455031,0.9311404351740393,0.9283965728274174,0.9283965728274174,False,White,White,Conduction disorders
0.9728527064345469,0.9735719271270623,0.9652892561983472,0.9661157024793389,False,Black,Black,Other upper respiratory disease
0.780318540922747,0.7796751873918892,0.7619834710743801,0.7570247933884298,True,Black,Black,Congestive heart failure; nonhypertensive
0.9454150945304834,0.9450934177650545,0.9330578512396694,0.9305785123966942,True,Black,Black,Acute cerebrovascular disease
0.8391272241722892,0.8332819122570987,0.8355371900826446,0.8305785123966942,True,Black,Black,Acute and unspecified renal failure
0.9092133081117169,0.9076676411382097,0.9002447980416156,0.8996328029375765,True,White,White,Chronic kidney disease
0.9196485833072012,0.9171692444642261,0.916156670746634,0.916156670746634,False,White,White,disease
0.8268847931861174,0.8294556784041596,0.8190082644628099,0.8223140495867769,False,Black,Black,chronic
0.9127153362938386,0.9073904731076201,0.9074380165289256,0.9041322314049587,True,Black,Black,Diabetes mellitus with complications
0.9586827437611904,0.9580707486571512,0.9504132231404959,0.9504132231404959,False,Black,Black,Shock
0.9186051569438685,0.918911154495888,0.903305785123967,0.903305785123967,False,Black,Black,Respiratory failure; insufficiency; arrest (adult)
0.8923809138452512,0.8933145857147192,0.883108935128519,0.8824969400244798,True,White,White,Hypertension with complications and secondary hypertension
0.8002867778710663,0.7992013716782828,0.7743801652892562,0.7801652892561983,False,Black,Black,Fluid and electrolyte disorders
0.9422949310620392,0.9422949310620392,0.9396694214876034,0.9396694214876034,False,Black,Black,Pleurisy; pneumothorax; pulmonary collapse
